user_id	score	date	review	is_month	is_repurch
dior****	5	16.10.28.	사이즈도 잘 맞고 너무너무 이쁘네요	False	False
jdsa***	5	16.11.03.	예뻐요 정망	False	False
hihi********	5	16.10.31.	소재도 좋고 이쁘네요	False	False
nas4***	3	16.10.24.	너무 귀엽고 앙증맞네요 판매자님께서 직접 전화로 사이즈 상담도 해주시고흥하십쑈	False	False
mini*****	5	16.10.08.	둘째가 생겨서 첫째랑 똑같은 걸로 구매했는데 작은 아이라 적응이 안 되는지 꾸벅꾸벅 조네요 그래도 너무 이쁘고 귀여워요	False	False
wjsw***	5	16.10.03.	색깔별로 구입 스판기가 있어서 딱 맞게 입히시려면 한 치수 작게 하시는 게 이쁠 거 같아요  가격도 저렴하고 너무 좋습니다 강력 추천	False	False
suda****	5	16.10.21.	요크셔인데 잘 맞아요 길이감도 좋습니다 색도 잘빠졌어요	False	False
cosh***	5	16.10.30.	잘 받아 입혛네요	False	False
eunb***	5	16.11.15.	좋아요 좋아요	False	False
rose****	5	16.10.30.	너무 이뻐요	False	False
hyer*****	3	16.10.30.	귀여워요 	False	False
rt****	5	16.09.03.	제일 맘에 드는 옷 미니 피니에서 옷 여러 벌 구매했는데 가장 마음에 드는 옷 중 하나에요 뭘 같이 입히는 멋스럽게 잘 어울려요 아기자기한 강아지 옷보다 사람 옷같이 심플한 옷 원하시는 견주분들께 적극 추천드려요	False	False
leeh*****	5	16.10.28.	잘 받았어요 	False	False
neoc******	5	16.10.01.	예뻐요 조끼랑 입히려고 코디 컷대로 구입했어요 보통  입는데 넉넉히 입히려고  주문했는데 크게 나왔다고 전화 주셔서로 받았어요 조끼랑 같이 입히니 너무 예뻐요	False	False
aaaa*****	5	16.10.26.	쫀디기옷이네	False	False
pej2****	5	16.10.26.	귀엽네요	False	False
verr******	5	16.10.22.	너모 이뻐요 	False	False
kn****	5	16.10.22.	넘나 이 부요 진짜 	False	False
viol****	5	16.10.26.	이뻐요	False	False
kore*****	3	16.10.22.	사이즈 미스	False	False
bbui*****	5	16.09.07.	 사 이즈고요 신축성도 좋고 얇고 부드러운 면이라 편하게 자주 입힐 것 같네요 맘에 들어요	False	False
gksk****	5	16.10.16.	이뻐요 	False	False
dudg******	5	16.09.19.	 아직 못 입히고 있어요 아기가 너무 까칠해서 입히기 힘들어요 근데 사이즈도 조금 작은듯해요 킬로에요	False	False
cc****	5	16.09.07.	정말 이뻐요 사이즈 고민 많이  했는데   비송    사이즈 여유 있게 잘 맞고요 너무 이쁘네요  판매자님도  너무 친절하시고  여기 단골 해야겠어요 이쁜 거 많이 올려주세요	False	False
goso***	5	16.10.05.	만족합니다 너무 예뻐요	False	False
wjsw***	5	16.10.03.	가격도 저렴하고 좋습니다 깔 별러 구매했어요	False	False
kity****	5	16.10.12.	귀여워요	False	False
jy****	5	16.10.28.	너무너무 귀여워요	False	False
na13*****	5	16.09.07.	정말 친절하고 감사했습니다 저희 아기 사이즈가 미묘했는데 상담도 친절하시게 해주시고 하지만 결국 사이즈가 좀 그래서 교환했는데 그것도 너무 친절하게 감사했어요  	False	False
radr***	5	16.09.20.	이뻐요 판매자님의 세심한 배려로 사이즈를 잘 고름	False	False
dog4***	5	16.10.11.	 넘넘 귀여육요	False	False
sadd****	5	16.09.07.	빠른 배송 예쁜 옷 감사합니다 개월 접어드는 킬로 코카입니다 아직 살짝 큰듯한 옷도 있고 잘 맞는 옷도 있어요 디자인 특이하고 고급스러워서 만족 만족	False	False
gyge***	5	16.09.22.	이뻐요 또 구매예정입니다	False	False
sero****	5	16.10.06.	너무 이뻐요	False	False
sero****	5	16.10.06.	너무 이뻐요	False	False
neoc******	5	16.10.01.	맘에 들어요	False	False
js****	5	16.10.01.	좋아요	False	False
js****	5	16.10.01.	좋아요	False	False
ifre***	5	16.09.11.	예뻐요 멋스럽게 사이즈도 딱이네요	False	False
sonj***	5	16.09.24.	넘넘 이뻐요	False	False
rt****	5	16.09.03.	사람 입는 피 같고 너무 예뻐요 밑에 강아지 청바지를 입혀도 치마를 입혀도 너무너무 잘 어울리고 멋스러워요	False	False
rudd****	5	16.09.05.	너무 이쁘네요 판매자님도 친절하고 잘 입을게요 	False	False
dudg******	5	16.09.19.	좀 작아요 	False	False
cc****	5	16.09.07.	비송 아가  사이즈 편하게 잘 맞고  멜빵바지랑 입혔더니 너무 이뻐요	False	False
bbui*****	5	16.09.07.	이뻐요 맘에 들어요	False	False
lall*****	5	16.09.10.	만족합니다	False	False
cook***	5	16.08.27.	청 멜빵바지랑 입히니까 더더욱 귀여워요 만족합니다	False	False
khm1***	5	16.09.04.	길어요  이뻐요	False	False
mi****	5	16.09.09.	너무 예뻐요	False	False
han9*****	5	16.07.24.	추천합니다 첫째에랑 커플로 입히려고 재구매했어요 아직 사진이 없네요 대만족합니다 스판기 있어서 원래 사이즈보다 한 사이즈 작게 주문했어요	False	False
hsyo****	3	16.08.11.	원단은 너무 좋은데 사이즈가 안 맞아서 	False	False
dmsg*****	5	16.08.31.	이쁩니다	False	False
han9*****	5	16.07.24.	스판기 있고 좋아요	False	False
